ID1,Affinal_ID,Affinal_r
6002189,6002495,"[0,0.125)   "
6002189,6002496,"[0,0.125)   "
6002208,6002031,"[0,0.125)   "
6002208,6002148,"[0,0.125)   "
6002208,6002149,"[0,0.125)   "
6002208,6002203,"[0,0.125)   "
6002208,6002204,"[0,0.125)   "
6002208,6002408,"[0,0.125)   "
6002220,6002061,"[0,0.125)   "
6002220,6002063,"[0,0.125)   "
6002220,6002065,"[0,0.125)   "
6002220,6002066,"[0,0.125)   "
6002220,6002067,"[0,0.125)   "
6002220,6002123,"[0,0.125)   "
6002220,6002190,"[0,0.125)   "
6002244,6002178,"[0,0.125)   "
6002244,6002179,"[0,0.125)   "
6002254,6002234,"[0,0.125)   "
6002254,6002235,"[0,0.125)   "
6002304,6002512,"[0,0.125)   "
6002332,6002512,"[0,0.125)   "
6002332,6002549,"[0,0.125)   "
6002359,6002010,"[0,0.125)   "
6002359,6002011,"[0,0.125)   "
6002359,6002012,"[0,0.125)   "
6002374,6002159,"[0,0.125)   "
6002374,6002160,"[0,0.125)   "
6002374,6002495,"[0,0.125)   "
6002374,6002496,"[0,0.125)   "
6002379,6002031,"[0,0.125)   "
6002379,6002148,"[0,0.125)   "
6002379,6002149,"[0,0.125)   "
6002379,6002203,"[0,0.125)   "
6002379,6002204,"[0,0.125)   "
6002379,6002408,"[0,0.125)   "
6002389,6002003,"[0,0.125)   "
6002389,6002004,"[0,0.125)   "
6002389,6002270,"[0,0.125)   "
6002389,6002271,"[0,0.125)   "
6002389,6002477,"[0,0.125)   "
6002389,6002478,"[0,0.125)   "
6002389,6002552,"[0,0.125)   "
6002389,6002553,"[0,0.125)   "
6002389,6002554,"[0,0.125)   "
6002438,6002181,"[0,0.125)   "
6002438,6002182,"[0,0.125)   "
6002438,6002183,"[0,0.125)   "
6002438,6002275,"[0,0.125)   "
6002438,6002276,"[0,0.125)   "
6002438,6002342,"[0,0.125)   "
6002438,6002344,"[0,0.125)   "
6002438,6002345,"[0,0.125)   "
6002438,6002369,"[0,0.125)   "
6002438,6002371,"[0,0.125)   "
6002438,6002372,"[0,0.125)   "
6002438,6002504,"[0,0.125)   "
6002463,6002031,"[0,0.125)   "
6002463,6002148,"[0,0.125)   "
6002463,6002149,"[0,0.125)   "
6002463,6002203,"[0,0.125)   "
6002463,6002204,"[0,0.125)   "
6002463,6002408,"[0,0.125)   "
6002491,6002061,"[0,0.125)   "
6002491,6002063,"[0,0.125)   "
6002491,6002065,"[0,0.125)   "
6002491,6002066,"[0,0.125)   "
6002491,6002067,"[0,0.125)   "
6002491,6002123,"[0,0.125)   "
6002491,6002190,"[0,0.125)   "
6002503,6002111,"[0,0.125)   "
6002503,6002112,"[0,0.125)   "
6002503,6002439,"[0,0.125)   "
6002503,6002440,"[0,0.125)   "
6002511,6002518,"[0,0.125)   "
6002511,6002519,"[0,0.125)   "
6002511,6002524,"[0,0.125)   "
6002511,6002526,"[0,0.125)   "
6002528,6002538,"[0,0.125)   "
6002528,6002539,"[0,0.125)   "
6002001,6002270,"[0,0.125)   "
6002001,6002271,"[0,0.125)   "
6002001,6002390,"[0,0.125)   "
6002001,6002391,"[0,0.125)   "
6002001,6002552,"[0,0.125)   "
6002001,6002553,"[0,0.125)   "
